country,matchname,xid,name,code
AU,Australian Capital Territory,base.state_au_1,,
AU,New South Wales,base.state_au_2,,
AU,Northern Territory,base.state_au_3,,
AU,Queensland,base.state_au_4,,
AU,South Australia,base.state_au_5,,
AU,Tasmania,base.state_au_6,,
AU,Victoria,base.state_au_7,,
AU,Western Australia,base.state_au_8,,
BR,Estado de Alagoas,base.state_br_al,,
BR,Estado do Amapá,base.state_br_ap,,
BR,Estado do Amazonas,base.state_br_am,,
BR,Estado da Bahia,base.state_br_ba,,
BR,Estado do Ceará,base.state_br_ce,,
BR,Distrito Federal,base.state_br_df,,
BR,Estado de Espírito Santo,base.state_br_es,,
BR,Estado de Goiás,base.state_br_go,,
BR,Estado do Maranhao,base.state_br_ma,,
BR,Estado de Mato Grosso,base.state_br_mt,,
BR,Estado de Mato Grosso do Sul,base.state_br_ms,,
BR,Estado de Minas Gerais,base.state_br_mg,,
BR,Estado do Pará,base.state_br_pa,,
BR,Estado da Paraíba,base.state_br_pb,,
BR,Estado do Pará,base.state_br_pr,,
BR,Estado de Pernambuco,base.state_br_pe,,
BR,Estado do Piauí,base.state_br_pi,,
BR,Estado do Rio de Janeiro,base.state_br_rj,,
BR,Estado do Rio Grande do Norte,base.state_br_rn,,
BR,Estado do Rio Grande do Sul,base.state_br_rs,,
BR,Estado de Rondonia,base.state_br_ro,,
BR,Estado de Roraima,base.state_br_rr,,
BR,Estado de Santa Catarina,base.state_br_sc,,
BR,Estado de Sao Paulo,base.state_br_sp,,
BR,Estado de Sergipe,base.state_br_se,,
BR,Estado de Tocantins,base.state_br_to,,
RU,Respublika Adygeya,base.state_ru_ad,,
RU,Respublika Altay,base.state_ru_al,,
RU,Altayskiy Kray,base.state_ru_alt,,
RU,Amurskaya Oblast´,base.state_ru_amu,,
RU,Arkhangelskaya oblast,base.state_ru_ark,,
RU,Astrakhanskaya Oblast´,base.state_ru_ast,,
RU,Respublika Bashkortostan,base.state_ru_ba,,
RU,Belgorodskaya Oblast´,base.state_ru_bel,,
RU,Murmansk Oblast,base.state_ru_bry,,
RU,Respublika Buryatiya,base.state_ru_bu,,
RU,Chechnya,base.state_ru_ce,,
RU,Chelyabinskaya Oblast´,base.state_ru_che,,
RU,Chukotskiy Avtonomnyy Okrug,base.state_ru_chu,,
RU,Chuvashia,base.state_ru_cu,,
RU,Dagestan,base.state_ru_da,,
RU,Respublika Ingushetiya,base.state_ru_in,,
RU,Murmansk Oblast,base.state_ru_irk,,
RU,Ivanovskaya Oblast,base.state_ru_iva,,
RU,Kamchatskaya,base.state_ru_kam,,
RU,Kabardino-Balkarskaya Respublika,base.state_ru_kb,,
RU,Kaliningradskaya Oblast´,base.state_ru_kgd,,
RU,Respublika Kalmykiya,base.state_ru_kl,,
RU,Kaluzhskaya Oblast,base.state_ru_klu,,
RU,Karachayevo-Cherkesskaya Respublika,base.state_ru_kc,,
RU,Respublika Kareliya,base.state_ru_kr,,
RU,Kemerovskaya Oblast´,base.state_ru_kem,,
RU,Khabarovsk Krai,base.state_ru_kha,,
RU,Respublika Khakasiya,base.state_ru_kk,,
RU,Khanty-Mansiyskiy Avtonomnyy Okrug,base.state_ru_khm,,
RU,Kirovskaya Oblast´,base.state_ru_kir,,
RU,Respublika Komi,base.state_ru_ko,,
RU,Kostromskaya Oblast´,base.state_ru_kos,,
RU,Krasnodarskiy Kray,base.state_ru_kda,,
RU,Krasnoyarskiy Kray,base.state_ru_kya,,
RU,Murmansk Oblast,base.state_ru_kgn,,
RU,Murmansk Oblast,base.state_ru_krs,,
RU,Leningradskaya Oblast´,base.state_ru_len,,
RU,Lipetskaya Oblast´,base.state_ru_lip,,
RU,Magadanskaya Oblast´,base.state_ru_mag,,
RU,Respublika Mariy-El,base.state_ru_me,,
RU,Respublika Mordoviya,base.state_ru_mo,,
RU,Moskovskaya Oblast´,base.state_ru_mos,,
RU,Moscow,base.state_ru_mow,,
RU,Murmansk Oblast,base.state_ru_mur,,
RU,Nizhegorodskaya Oblast,base.state_ru_niz,,
RU,Novgorodskaya Oblast´,base.state_ru_ngr,,
RU,Novosibirskaya Oblast´,base.state_ru_nvs,,
RU,Murmansk Oblast,base.state_ru_oms,,
RU,Orenburgskaya Oblast´,base.state_ru_ore,,
RU,Orlovskaya Oblast´,base.state_ru_orl,,
RU,Penzenskaya Oblast´,base.state_ru_pnz,,
RU,Permskiy Kray,base.state_ru_per,,
RU,Primorskiy Kray,base.state_ru_pri,,
RU,Pskovskaya Oblast´,base.state_ru_psk,,
RU,Rostovskaya Oblast´,base.state_ru_ros,,
RU,Ryazanskaya Oblast´,base.state_ru_rya,,
RU,Respublika Sakha (Yakutiya),base.state_ru_sa,,
RU,Sakhalinskaya Oblast´,base.state_ru_sak,,
RU,Samarskaya Oblast´,base.state_ru_sam,,
RU,Sankt-Peterburg,base.state_ru_spe,,
RU,Saratovskaya Oblast´,base.state_ru_sar,,
RU,Respublika Severnaya Osetiya-Alaniya,base.state_ru_se,,
RU,Murmansk Oblast,base.state_ru_smo,,
RU,Stavropol´skiy Kray,base.state_ru_sta,,
RU,Sverdlovskaya Oblast´,base.state_ru_sve,,
RU,Tambovskaya Oblast´,base.state_ru_tam,,
RU,Respublika Tatarstan,base.state_ru_ta,,
RU,Murmansk Oblast,base.state_ru_tom,,
RU,Tul´skaya Oblast´,base.state_ru_tul,,
RU,Tverskaya Oblast,base.state_ru_tve,,
RU,Tyumenskaya Oblast´,base.state_ru_tyu,,
RU,Respublika Tyva,base.state_ru_ty,,
RU,Udmurtskaya Respublika,base.state_ru_ud,,
RU,Murmansk Oblast,base.state_ru_uly,,
RU,Vladimirskaya Oblast´,base.state_ru_vla,,
RU,Volgogradskaya Oblast´,base.state_ru_vgg,,
RU,Vologodskaya Oblast´,base.state_ru_vlg,,
RU,Voronezhskaya Oblast´,base.state_ru_vor,,
RU,Yamalo-Nenetskiy Avtonomnyy Okrug,base.state_ru_yan,,
RU,Yaroslavskaya Oblast´,base.state_ru_yar,,
RU,Jewish Autonomous Oblast,base.state_ru_yev,,
GT,Departamento de Alta Verapaz,base.state_gt_ave,,
GT,Departamento de Baja Verapaz,base.state_gt_bve,,
GT,Departamento de Chimaltenango,base.state_gt_cmt,,
GT,Departamento de Chiquimula,base.state_gt_cqm,,
GT,Departamento de El Progreso,base.state_gt_epr,,
GT,Departamento de Escuintla,base.state_gt_esc,,
GT,Departamento de Guatemala,base.state_gt_gua,,
GT,Departamento de Huehuetenango,base.state_gt_hue,,
GT,Departamento de Izabal,base.state_gt_iza,,
GT,Departamento de Jalapa,base.state_gt_jal,,
GT,Departamento de Jutiapa,base.state_gt_jut,,
GT,Departamento del Petén,base.state_gt_pet,,
GT,Departamento de Quetzaltenango,base.state_gt_que,,
GT,Departamento del Quiché,base.state_gt_qui,,
GT,Departamento de Retalhuleu,base.state_gt_ret,,
GT,Departamento de Sacatepéquez,base.state_gt_sac,,
GT,Departamento de San Marcos,base.state_gt_sma,,
GT,Departamento de Santa Rosa,base.state_gt_sro,,
GT,Departamento de Sololá,base.state_gt_sol,,
GT,Departamento de Suchitepéquez,base.state_gt_suc,,
GT,Departamento de Totonicapán,base.state_gt_tot,,
GT,Departamento de Zacapa,base.state_gt_zac,,
JP,Aichi-ken,base.state_jp_jp-23,,
JP,Akita-ken,base.state_jp_jp-05,,
JP,Aomori-ken,base.state_jp_jp-02,,
JP,Chiba-ken,base.state_jp_jp-12,,
JP,Ehime,base.state_jp_jp-38,,
JP,Fukui-ken,base.state_jp_jp-18,,
JP,Fukuoka-ken,base.state_jp_jp-40,,
JP,Fukushima-ken,base.state_jp_jp-07,,
JP,Gifu-ken,base.state_jp_jp-21,,
JP,Gumma-ken,base.state_jp_jp-10,,
JP,Hiroshima-ken,base.state_jp_jp-34,,
JP,Hokkaido,base.state_jp_jp-01,,
JP,Hyogo-ken,base.state_jp_jp-28,,
