country,matchname,xid,name,code
JP,Ibaraki-ken,base.state_jp_jp-08,,
JP,Ishikawa-ken,base.state_jp_jp-17,,
JP,Iwate-ken,base.state_jp_jp-03,,
JP,Kagawa-ken,base.state_jp_jp-37,,
JP,Kagoshima-ken,base.state_jp_jp-46,,
JP,Kanagawa-ken,base.state_jp_jp-14,,
JP,Kochi-ken,base.state_jp_jp-39,,
JP,Kumamoto-ken,base.state_jp_jp-43,,
JP,Kyoto-fu,base.state_jp_jp-26,,
JP,Mie-ken,base.state_jp_jp-24,,
JP,Miyagi-ken,base.state_jp_jp-04,,
JP,Miyazaki-ken,base.state_jp_jp-45,,
JP,Nagano-ken,base.state_jp_jp-20,,
JP,Nagasaki-ken,base.state_jp_jp-42,,
JP,Nara,base.state_jp_jp-29,,
JP,Niigata-ken,base.state_jp_jp-15,,
JP,oita-ken,base.state_jp_jp-44,,
JP,Okayama-ken,base.state_jp_jp-33,,
JP,Okinawa-ken,base.state_jp_jp-47,,
JP,osaka-fu,base.state_jp_jp-27,,
JP,Saga-ken,base.state_jp_jp-41,,
JP,Saitama-ken,base.state_jp_jp-11,,
JP,Shiga-ken,base.state_jp_jp-25,,
JP,Shimane-ken,base.state_jp_jp-32,,
JP,Shizuoka-ken,base.state_jp_jp-22,,
JP,Tochigi-ken,base.state_jp_jp-09,,
JP,Tokushima-ken,base.state_jp_jp-36,,
JP,Tottori-ken,base.state_jp_jp-31,,
JP,Toyama-ken,base.state_jp_jp-16,,
JP,Tokyo-to,base.state_jp_jp-13,,
JP,Wakayama-ken,base.state_jp_jp-30,,
JP,Yamagata-ken,base.state_jp_jp-06,,
JP,Yamaguchi-ken,base.state_jp_jp-35,,
JP,Yamanashi-ken,base.state_jp_jp-19,,
PT,Distrito de Aveiro,base.state_pt_pt-01,,
PT,Distrito de Beja,base.state_pt_pt-02,,
PT,Distrito de Braga,base.state_pt_pt-03,,
PT,BraganCa,base.state_pt_pt-04,,
PT,Distrito de Castelo Branco,base.state_pt_pt-05,,
PT,Distrito de Coimbra,base.state_pt_pt-06,,
PT,Distrito de Évora,base.state_pt_pt-07,,
PT,Distrito de Faro,base.state_pt_pt-08,,
PT,Distrito da Guarda,base.state_pt_pt-09,,
PT,Distrito de Leiria,base.state_pt_pt-10,,
PT,Lisbon,base.state_pt_pt-11,,
PT,Distrito de Portalegre,base.state_pt_pt-12,,
PT,Distrito do Porto,base.state_pt_pt-13,,
PT,Distrito de Santarém,base.state_pt_pt-14,,
PT,Distrito de Setúbal,base.state_pt_pt-15,,
PT,Distrito de Viana do Castelo,base.state_pt_pt-16,,
PT,Distrito de Vila Real,base.state_pt_pt-17,,
PT,Distrito de Viseu,base.state_pt_pt-18,,
PT,Regiao Autonoma dos ACores,base.state_pt_pt-20,,
PT,Regiao Autonoma da Madeira,base.state_pt_pt-30,,
EG,MuhafaZat ad Daqahliyah,base.state_eg_dk,,
EG,MuhafaZat al Bahr al Ahmar,base.state_eg_ba,,
EG,MuhafaZat al Buhayrah,base.state_eg_bh,,
EG,MuhafaZat al Fayyum,base.state_eg_fym,,
EG,MuhafaZat al Gharbiyah,base.state_eg_gh,,
EG,Alexandria,base.state_eg_alx,,
EG,MuhafaZat al Isma`iliyah,base.state_eg_is,,
EG,MuhafaZat al Jizah,base.state_eg_gz,,
EG,MuhafaZat al Minufiyah,base.state_eg_mnf,,
EG,MuhafaZat al Minya,base.state_eg_mn,,
EG,MuhafaZat al Qahirah,base.state_eg_c,,
EG,MuhafaZat al Qalyubiyah,base.state_eg_kb,,
EG,MuhafaZat al Wadi al Jadid,base.state_eg_wad,,
EG,MuhafaZat as Suways,base.state_eg_suz,,
EG,MuhafaZat Aswan,base.state_eg_asn,,
EG,MuhafaZat Asyut,base.state_eg_ast,,
EG,MuhafaZat Bani Suwayf,base.state_eg_bns,,
EG,MuhafaZat Bur Sa`id,base.state_eg_pts,,
EG,MuhafaZat Dumyat,base.state_eg_dt,,
EG,MuhafaZat Janub Sina´,base.state_eg_js,,
EG,MuhafaZat Kafr ash Shaykh,base.state_eg_kfs,,
EG,MuhafaZat Matruh,base.state_eg_mt,,
EG,MuhafaZat Qina,base.state_eg_kn,,
EG,MuhafaZat Shamal Sina´,base.state_eg_sin,,
EG,MuhafaZat Suhaj,base.state_eg_shg,,
ZA,Province of Eastern Cape,base.state_za_ec,,
ZA,Free State,base.state_za_fs,,
ZA,Gauteng,base.state_za_gt,,
ZA,Province of KwaZulu-Natal,base.state_za_nl,,
ZA,Limpopo,base.state_za_lp,,
ZA,Mpumalanga,base.state_za_mp,,
ZA,Province of Northern Cape,base.state_za_nc,,
ZA,Province of North-West,base.state_za_nw,,
ZA,Province of Eastern Cape,base.state_za_wc,,
ES,Coruña (A),base.state_es_c,,
ES,Araba/Álava,base.state_es_vi,,
ES,Albacete,base.state_es_ab,,
ES,Alicante/Alacant,base.state_es_a,,
ES,Almería,base.state_es_al,,
ES,Asturias,base.state_es_o,,
ES,Ávila,base.state_es_av,,
ES,Badajoz,base.state_es_ba,,
ES,Balears (Illes),base.state_es_pm,,
ES,Barcelona,base.state_es_b,,
ES,Burgos,base.state_es_bu,,
ES,Cáceres,base.state_es_cc,,
ES,Cádiz,base.state_es_ca,,
ES,Cantabria,base.state_es_s,,
ES,Cáceres,base.state_es_cs,,
ES,Ceuta,base.state_es_ce,,
ES,Ciudad Real,base.state_es_cr,,
ES,Cordoba,base.state_es_co,,
ES,Cuenca,base.state_es_cu,,
ES,Girona,base.state_es_gi,,
ES,Granada,base.state_es_gr,,
ES,Guadalajara,base.state_es_gu,,
ES,Gipuzkoa,base.state_es_ss,,
ES,Huelva,base.state_es_h,,
ES,Huesca,base.state_es_hu,,
ES,Jaén,base.state_es_j,,
ES,Lugo,base.state_es_lo,,
ES,Palmas (Las),base.state_es_gc,,
ES,Leon,base.state_es_le,,
ES,Lleida,base.state_es_l,,
ES,Lugo,base.state_es_lu,,
ES,Madrid,base.state_es_m,,
ES,Málaga,base.state_es_ma,,
ES,Melilla,base.state_es_ml,,
ES,Murcia,base.state_es_mu,,
ES,Navarra,base.state_es_na,,
ES,Ourense,base.state_es_or,,
ES,Palencia,base.state_es_p,,
ES,Pontevedra,base.state_es_po,,
ES,Salamanca,base.state_es_sa,,
ES,Santa Cruz de Tenerife,base.state_es_tf,,
ES,Segovia,base.state_es_sg,,
ES,Sevilla,base.state_es_se,,
ES,Soria,base.state_es_so,,
ES,Tarragona,base.state_es_t,,
ES,Teruel,base.state_es_te,,
ES,Toledo,base.state_es_to,,
ES,Palencia,base.state_es_v,,
ES,Valladolid,base.state_es_va,,
ES,Bizkaia,base.state_es_bi,,
ES,Zamora,base.state_es_za,,
ES,Zaragoza,base.state_es_z,,
MY,Negeri Johor,base.state_my_jhr,,
MY,Negeri Kedah,base.state_my_kdh,,
MY,Negeri Kelantan,base.state_my_ktn,,
MY,Wilayah Persekutuan Kuala Lumpur,base.state_my_kul,,
MY,Labuan,base.state_my_lbn,,
MY,Negeri Melaka,base.state_my_mlk,,
MY,Negeri Sembilan,base.state_my_nsn,,
MY,Negeri Pahang,base.state_my_phg,,
MY,Negeri Perak,base.state_my_prk,,
MY,Negeri Perlis,base.state_my_pls,,
MY,Negeri Pulau Pinang,base.state_my_png,,
MY,Putrajaya,base.state_my_pjy,,
MY,Sabah,base.state_my_sbh,,
MY,Sarawak,base.state_my_swk,,
MY,Negeri Selangor,base.state_my_sgr,,
MY,Negeri Terengganu,base.state_my_trg,,
MX,Aguascalientes,base.state_mx_ags,,
MX,Estado de Baja California,base.state_mx_bc,,
MX,Baja California Sur,base.state_mx_bcs,,
MX,Chihuahua,base.state_mx_chih,,
MX,Colima,base.state_mx_col,,
MX,Campeche,base.state_mx_camp,,
MX,Coahuila,base.state_mx_coah,,
MX,Chiapas,base.state_mx_chis,,
MX,The Federal District,base.state_mx_df,,
MX,Durango,base.state_mx_dgo,,
MX,Guerrero,base.state_mx_gro,,
MX,Guanajuato,base.state_mx_gto,,
MX,Hidalgo,base.state_mx_hgo,,
MX,Jalisco,base.state_mx_jal,,
MX,Michoacán,base.state_mx_mich,,
MX,Morelos,base.state_mx_mor,,
MX,Estado de México,base.state_mx_mex,,
MX,Nayarit,base.state_mx_nay,,
MX,Nuevo Leon,base.state_mx_nl,,
MX,Oaxaca,base.state_mx_oax,,
MX,Puebla,base.state_mx_pue,,
MX,Quintana Roo,base.state_mx_q roo,,
MX,Querétaro,base.state_mx_qro,,
MX,Sinaloa,base.state_mx_sin,,
MX,San Luis Potosí,base.state_mx_slp,,
MX,Sonora,base.state_mx_son,,
MX,Tabasco,base.state_mx_tab,,
MX,Tlaxcala,base.state_mx_tlax,,
MX,Tamaulipas,base.state_mx_tamps,,
MX,Estado de Veracruz-Llave,base.state_mx_ver,,
MX,Yucatán,base.state_mx_yuc,,
MX,Zacatecas,base.state_mx_zac,,
NZ,Auckland,base.state_nz_auk,,
NZ,Bay of Plenty,base.state_nz_bop,,
NZ,Canterbury,base.state_nz_can,,
NZ,Gisborne,base.state_nz_gis,,
NZ,Hawkes Bay,base.state_nz_hkb,,
NZ,Wanganui,base.state_nz_mwt,,
NZ,Marlborough,base.state_nz_mbh,,
NZ,Nelson,base.state_nz_nsn,,
NZ,Southland,base.state_nz_ntl,,
NZ,Otago,base.state_nz_ota,,
NZ,Southland,base.state_nz_stl,,
NZ,Taranaki,base.state_nz_tki,,
NZ,Waikato,base.state_nz_wko,,
NZ,Wellington,base.state_nz_wgn,,
NZ,West Coast,base.state_nz_wtc,,
CA,Alberta,base.state_ca_ab,,
CA,British Columbia,base.state_ca_bc,,
CA,Manitoba,base.state_ca_mb,,
CA,New Brunswick,base.state_ca_nb,,
CA,Newfoundland and Labrador,base.state_ca_nl,,
CA,Northwest Territories,base.state_ca_nt,,
CA,Nova Scotia,base.state_ca_ns,,
CA,Nunavut,base.state_ca_nu,,
CA,Ontario,base.state_ca_on,,
CA,Prince Edward Island,base.state_ca_pe,,
CA,Quebec,base.state_ca_qc,,
CA,Saskatchewan,base.state_ca_sk,,
CA,Yukon,base.state_ca_yt,,
AE,Abu Zaby,base.state_ae_az,,
AE,Ajman,base.state_ae_aj,,
AE,Dubayy,base.state_ae_du,,
AE,Al Fujayrah,base.state_ae_fu,,
AE,Ras al Khaymah,base.state_ae_rk,,
AE,Shariqah,base.state_ae_sh,,
AE,Umm al Qaywayn,base.state_ae_uq,,
AR,Distrito Federal,base.state_ar_c,,
AR,Provincia de Buenos Aires,base.state_ar_b,,
AR,Provincia de Catamarca,base.state_ar_k,,
AR,Provincia del Chaco,base.state_ar_h,,
AR,Provincia del Chubut,base.state_ar_u,,
AR,Provincia de Cordoba,base.state_ar_x,,
AR,Provincia de Corrientes,base.state_ar_w,,
AR,Provincia de Entre Ríos,base.state_ar_e,,
AR,Provincia de Formosa,base.state_ar_p,,
AR,Provincia de Jujuy,base.state_ar_y,,
AR,Provincia de La Pampa,base.state_ar_l,,
AR,Provincia de La Rioja,base.state_ar_f,,
AR,Provincia de Mendoza,base.state_ar_m,,
AR,Provincia de Misiones,base.state_ar_n,,
AR,Provincia del Neuquén,base.state_ar_q,,
AR,Provincia de Río Negro,base.state_ar_r,,
AR,Provincia de Salta,base.state_ar_a,,
AR,Provincia de San Juan,base.state_ar_j,,
AR,Provincia de San Luis,base.state_ar_d,,
AR,Provincia de Santa Cruz,base.state_ar_z,,
AR,Provincia de Santa Fe,base.state_ar_s,,
AR,Provincia de Santiago del Estero,base.state_ar_g,,
AR,Provincia de Tucumán,base.state_ar_t,,
IN,Union Territory of Andaman and Nicobar Islands,base.state_in_an,,
IN,State of Andhra Pradesh,base.state_in_ap,,
IN,State of Arunachal Pradesh,base.state_in_ar,,
IN,State of Assam,base.state_in_as,,
IN,Bihar State of,base.state_in_br,,
IN,Union Territory of Chandigarh,base.state_in_ch,,
IN,State of Chhattisgarh,base.state_in_cg,,
IN,Union Territory of Dadra and Nagar Haveli,base.state_in_dn,,
IN,Daman and Diu,base.state_in_dd,,
IN,Union Territory of Delhi,base.state_in_dl,,
IN,Goa,base.state_in_ga,,
IN,State of Gujarat,base.state_in_gj,,
IN,State of Haryana,base.state_in_hr,,
IN,Himachal Pradesh,base.state_in_hp,,
IN,State of Jammu and Kashmir,base.state_in_jk,,
IN,State of Jharkhand,base.state_in_jh,,
IN,State of Karnataka,base.state_in_ka,,
IN,State of Kerala,base.state_in_kl,,
IN,State of Madhya Pradesh,base.state_in_mp,,
IN,State of Maharashtra,base.state_in_mh,,
IN,State of Manipur,base.state_in_mn,,
IN,State of Meghalaya,base.state_in_ml,,
IN,State of Mizoram,base.state_in_mz,,
IN,State of Nagaland,base.state_in_nl,,
IN,State of Orissa,base.state_in_or,,
IN,Union Territory of Puducherry,base.state_in_py,,
IN,State of Punjab,base.state_in_pb,,
IN,State of Rajasthan,base.state_in_rj,,
IN,State of Sikkim,base.state_in_sk,,
IN,State of Tamil Nadu,base.state_in_tn,,
IN,State of Tripura,base.state_in_tr,,
IN,State of Uttar Pradesh,base.state_in_up,,
IN,Uttarakhand,base.state_in_uk,,
ID,Propinsi Bali,base.state_id_ba,,
ID,Bangka-Belitung,base.state_id_bb,,
ID,Propinsi Banten,base.state_id_bt,,
ID,Propinsi Bengkulu,base.state_id_be,,
ID,Provinsi Gorontalo,base.state_id_go,,
ID,Daerah Khusus Ibukota Jakarta Raya,base.state_id_jk,,
ID,Propinsi Jambi,base.state_id_ja,,
ID,West Java,base.state_id_jb,,
ID,Central Java,base.state_id_jt,,
ID,East Java,base.state_id_ji,,
ID,West Kalimantan,base.state_id_kb,,
ID,South Kalimantan,base.state_id_ks,,
ID,Propinsi Kalimantan Tengah,base.state_id_kt,,
ID,East Kalimantan,base.state_id_ki,,
ID,Riau Islands,base.state_id_kr,,
ID,Propinsi Lampung,base.state_id_la,,
ID,Propinsi Maluku,base.state_id_ma,,
ID,Propinsi Maluku Utara,base.state_id_mu,,
ID,Propinsi Nusa Tenggara Barat,base.state_id_nb,,
ID,East Nusa Tenggara,base.state_id_nt,,
ID,Provinsi Papua,base.state_id_pa,,
ID,Provinsi Riau,base.state_id_ri,,
ID,Provinsi Sulawesi Barat,base.state_id_sr,,
ID,South Sulawesi,base.state_id_sn,,
ID,Central Sulawesi,base.state_id_st,,
ID,Propinsi Sulawesi Tenggara,base.state_id_sg,,
ID,North Sulawesi,base.state_id_sa,,
ID,West Sumatra,base.state_id_sb,,
ID,South Sumatra,base.state_id_ss,,
ID,North Sumatra,base.state_id_su,,
